subject_code,subject_name
RMM235,BUILDING EFFECTIVE TEAMS
RMM236,BALANCED SCORE CARD (BSC)FOR PROJECTS
RMM237,EMPLOYEE ATTRITION AND RETENTION STRATEGIES
RMM238,INTERACTIVE ONLINE MARKETING
RMM239,INTEGRATED MARKETING COMMUNICATIONS
RMM240,SIX SIGMA APPLICATION AND CUSTOMER SATISFACTION
RMM241,CUSTOMER RELATION MANAGEMENT
RMM242,MANAGING PRODUCT INNOVATION THROUGH CO-CREATION
RMM243,CURRENCY DERIVATIVES
RMM244,MERGERS AND ACQUISITION - AN HR PERSPECTIVE
RMM245,CONSUMER BEHAVIOUR IN SERVICES INDUSTRY
RMM246,ORGANIZATIONAL PSYCHOLOGY AND PSYCHOLOGICAL CONTRACT
RMM247,WORK LIFE BALANCE : THEORY AND PRACTICE
RMM248,EFFECT OF COPING MECHANISM ON EMOTIONAL RESILIENCE
RMM331,DISSERTATION AND VIVA VOCE
RMT261,PHILOSOPHY OF MATHEMATICS
RMT263,GRAPH OPERATIONS
RMS232,PERSPECTIVE ON MEDIA AND COMMUNICATION THEORIES
RMS240,FILM STUDIES
RMS248,NEW MEDIA
RMS251,BRAND PERFORMANCE IN SOCIAL MEDIA
RPH231,MEASUREMENT TECHNIQUES IN PHYSICS
RPH261A,MATERIALS SCIENCE - I
RPH261B,MATERIALS SCIENCE - II
RPH261C,MATERIALS SCIENCE - III
RPH261D,MATERIALS SCIENCE - IV
RPH262,ASTRONOMY AND ASTROPHYSICS
RPH263A,NUCLEAR PHYSICS - I
RPH263B,NUCLEAR PHYSICS - II
RPS231,ADVANCED QUALITATIVE RESEARCH METHODS IN PSYCHOLOGY
RPS232,APPLIED DATA ANALYSIS LAB AND RESEARCH WRITING LAB
RSW231,QUALITATIVE RESEARCH METHODS
RSW232,SOCIAL WORK THEORY AND PRACTICE
RTO381,RESEARCH PROPOSAL PRESENTATION DEFENCE / VIVA VOCE DISSERTATION
MPS231,INTRODUCTION TO CLINICAL PSYCHOLOGY
MPS232,PSYCHOPATHOLOGY - 1
MPS233,PSYCHOLOGICAL MEASUREMENT AND STATISTICS
MPS234,COGNITIVE PSYCHOLOGY - II
MPS235,BIOLOGICAL FOUNDATIONS OF BEHAVIOR - II
MPS236,DEVELOPMENTAL PSYCHOLOGY
MPS252,PSYCHO DIAGNOSTIC LAB - I
MPS271,RESEARCH PROPOSAL
MPS272,COMMUNITY SERVICE
MPS431C,EDUCATIONAL PSYCHOLOGY
MPS431F,ASIAN HEALIING PRACTICES AND PSYCHOTHERAPY
MPS432C,CRISIS AND TRAUMA COUNSELLING
MPS432D,CBT FOR COMMON PSYCHIATRIC DISORDERS
MPS452,PSYCHODIAGNOSTIC LAB - 2
MPS453,RESEARCH LAB - II
MPS471,SEMINAR AND PUBLICATION
MPS472,CLINICAL INTERNSHIP
MPS481,SUPERVISED CLINICAL PRACTICUM
MPS482,SUPERVISED DISSERTATION
MPC232,QUALITATIVE RESEARCH METHODS IN COUNSELLING PSYCHOLOGY
MPC233,POSITIVE PSYCHOLOGY
MPC235,SOCIAL AND CULTURAL FOUNDATIONS FOR COUNSELLING
MPC236,MENTAL HEALTH DISORDERS
MPC237,COUNSELLING THEORIES AND TECHNIQUES - II (GROUP)
MPC252,APPLICATION OF STATISTICS IN BEHAVIOURAL SCIENCES
MPC253,MULTICULTURAL COUNSELLING SKILLS - II
MPC273,PROFESSIONAL DEVELOPMENT - II
MPC431,COUNSELLING INTERVENTIONS FOR SPECIAL POPULATIONS
MPC432A,ASIAN HEALING PRACTICES
MPC432B,LIFE COACHING
MPC471,INTEGRATED SKILLS TRAINING
MPC472,COUNSELLING SUPERVISION SEMINAR
MPC482,DISSERTATION
MPC483,BLOCK INTERNSHIP
MPC484,COUNSELLING INTERNSHIP
MPR231,ORGANIZATIONAL BEHAVIOUR - II
MPR232,HUMAN RESOURCE MANAGEMENT - II
MPR233,HELPING RELATIONSHIPS - I
MPR234,TRAINING AND DEVELOPMENT
MPR235,ADMINISTRATIVE AND LABOUR LAWS
MPR236,INDIAN ECONOMICS AND BUSINESS ENVIRONMENT
MPR237,MARKETING AND CONSUMER PSYCHOLOGY
MPR238,PSYCHOLOGICAL STATISTICS
MPR239,BUSINESS ETIQUETTE
MPR251,PSYCHOMETRIC TESTING PRACTICUM - II
MPR252,PERFORMANCE MANAGEMENT LAB
MPR253,ACADEMIC WRITING - II
MPR254,PERSONAL GROWTH - II
MPR255,PROFESSIONALISATION SEMINAR - II
MPR256,ACADEMIC MENTORING - II
MPR257,RESEARCH LAB - I
MPR281,WINTER INTERNSHIP
MPR451,CERTIFICATION WORKSHOPS
MPR481,BLOCK INTERNSHIP REPORT AND PROJECT
MPR482,DISSERTATION
MBAF231,STRATEGIC MANAGEMENT
MBAF232,FINANCIAL ECONOMETRICS
MBAF233,MANAGERIAL CONTROL SYSTEMS
MBAF234,FINANCIAL MANAGEMENT
MBAF235,BUSINESS INFORMATION SYSTEM
MBAF236,CORPORATE LAW AND GOVERNANCE
MBAF251,BUSINESS INFORMATION SYSTEM
MBAF271,SKILL ENHANCEMENT COURSE - MICROSOFT EXCEL AND VBA
MBAF272,SOCIAL RESPONSIBILITY PROJECT
MBAF431,WEALTH MANAGEMENT
MBAF432,MANAGERIAL CONTROL SYSTEMS
MBAF433,INTERNATIONAL FINANCE
MBAF434,CONTEMPORARY TRENDS IN FINANCE
MBAF445,COMMODITY MARKETS AND DERIVATIVES
MBAF446,INSURANCE AND RISK MANAGEMENT
MBAF455,TREASURY AND RISK MANAGEMENT
MBAF456,CORPORATE TAX PLANNING AND MANAGEMENT
MBAF471,PROJECT
MBAF472,SKILL ENHANCEMENT COURSE - BUSINESS ANALYTICS
GD,GROUP DISCUSSION
MTA231,FRENCH LANGUAGE - II
MTA232,BUSINESS STATISTICS
MTA233,TOURISM MANAGEMENT INFORMATION SYSTEM
MTA234,HUMAN RESOURCE MANAGEMENT AND LABOUR LAWS
MTA235,GEOGRAPHY FOR TOURISM
MTA236,FINANCE FOR MANAGERS
MTA237,TRAVEL CONSULTANCY AND TOUR OPERATIONS
MTA431,FOREX MANAGEMENT
MTA432,BUSINESS POLICY AND STRATEGIC MANAGEMENT
MTA433,ORGANIZATIONAL BEHAVIOR
MTA434,BUSINESS ETHICS AND CORPORATE GOVERNANCE
MTA441A,INTERNATIONAL AIR TICKETING
MTA441B,EVENT MANAGEMENT
MTA442A,AIRLINE AND CARGO MANAGEMENT
MTA442B,HOTEL OPERATIONS AND MANAGEMENT
MTA481,DISSERTATION AND VIVA VOCE
MBAE231,PRODUCTION AND OPERATIONS MANAGEMENT
MBAE232,MARKETING MANAGEMENT
MBAE233,HUMAN RESOURCE MANAGEMENT
MBAE234,FINANCIAL MANAGEMENT
MBAE235,ENTREPRENUERSHIP
MBAE411,ORGANISATIONAL CHANGE AND DEVELOPMENT
MBAE412,EQUITY RESEARCH AND PORTFOLIO MANAGEMENT
MBAE431,STRATEGIC MANAGEMENT
MBAE432,LEADERSHIP
MBAE433,BUSINESS ANALYTICS
MBAE434,INTERNATIONAL BUSINESS
MBAE471,PROJECT
MBA232,RESEARCH METHODOLOGY
MBA238,BUSINESS LAW
MBA241,MARKETING MANAGEMENT
MBA245,INDIVIDUAL AND GROUP BEHAVIOUR IN ORGANIZATIONS
MBA246,OPERATIONS MANAGEMENT
MBA247,FINANCIAL MANAGEMENT
MBA275,INDUSTRIAL DOMAIN KNOWLEDGE
MBA503,INSURANCE
MBA504,FINANCIAL PLANNING AND WEALTH MANAGEMENT
MBA505,MANAGEMENT OF FINANCIAL SERVICES
MBA506,SMALL AND MEDIUM ENTERPRISES
MBA507,ECONOMETRIC ANALYSIS
MBA511,BUSINESS ANALYSIS II
MBA512,GOVERNANCE AND COMPLIANCE
MBA513,MANAGEMENT CONSULTING
MBA515,CORPORATE IMAGE MANAGEMENT
MBA516,SUPPLY CHAIN MANAGEMENT
MBA521,HUMAN RELATIONS SKILLS
MBA522,ORGANIZATIONAL CHANGE AND DEVELOPMENT
MBA523,LABOUR ECONOMICS
MBA531,ENTREPRENEURSHIP
MBA537,E-BUSINESS
MBA538,INTERNATIONAL BUSINESS
MBA539,BUSINESS ANALYSIS I
MBA545,RETAILING MANAGEMENT
MBA546,MARKETING ANALYTICS
MBA547,STRATEGIC MARKETING MANAGEMENT
MBA548,CUSTOMER RELATIONSHIP MANAGEMENT AND MARKETING METRICS
MBA549,MARKETING OF FINANCIAL SERVICES AND MARKETING METRICS
MBA555,WORLD CLASS MANUFACTURING AND LEAN OPERATIONS
MBA556,PREDICTIVE ANALYTICS
MBA558,SOFTWARE PROJECT MANAGEMENT AND IT OUTSOURCING
MBA559,SERVICE OPERATIONS MANAGEMENT
MBA562,"MERGERS, ACQUISITIONS AND RESTRUCTURING"
MBA566,LABOUR LAW -II
MBA569,COMPENSATION MANAGEMENT
MBA574,STRATEGIC FINANCIAL MANAGEMENT
MBA583,ADVANCED - SUPPLY CHAIN MANAGEMENT
MBA590,MASTER THESIS
MBA591,SOCIAL MEDIAL MARKETING
MBA592,PERSONAL FINANCIAL PLANNING
MBA593,SUSTAINABLE BUSINESS MANAGEMENT
MBA594,MANAGING PEOPLE AT WORK
MBA595,FAMILY BUSINESS MANAGEMENT
MLM471,DISSERTATION AND VIVA
MPL231,HUMAN RESOURCE MANAGEMENT
MPL232,LEGAL AND REGULATORY ASPECTS OF BUSINESS
MPL233,FINANCIAL MANAGEMENT
MPL234,MARKETING MANAGEMENT
MPL235,"CORPORATE ETHICS, GOVERNANCE AND SOCIAL RESPONSIBILITY"
MPL236,BUSINESS RESEARCH METHODOLOGY
MPL271,WORK PLACEMENT
MPL431,INTERNATIONAL BUSINESS
MPL432,ENTREPRENEURSHIP AND PROJECT MANAGEMENT
MPL443A,"CURRICULUM PLANNING, DESIGNING AND IMPLEMENTATION"
MPL443B,OPERATIONS MANAGEMENT IN HEALTHCARE
MPL443C,NGOs AND CORPORATE SOCIAL RESPONSIBILITY
MPL444A,QUALITY IN EDUCATION SERVICES
MPL444B,LEGAL AND ETHICAL ASPECTS IN HEALTHCARE
MPL444C,SOCIAL ENTREPRENEURSHIP
MPL445A,LEGAL AND REGULATORY ASPECTS OF EDUCATION MANAGEMENT
MPL445B,HEALTHCARE ECONOMICS
MPL445C,CSR PROJECT WORK
MSP331,COMPUTER GRAPHICS
MSP332,SYSTEM SOFTWARE
MSP351,MINI PROJECT
MSP231,DATA STRUCTURES
MSP232,DATA COMMUNICATION AND NETWORK SECURITY
MSP233,COMPUTER ARCHITECTURE
MSP234,BUSINESS INTELLIGENCE
MSP251,PROGRAMMING LAB - II
MSP441C,SOFTWARE ARCHITECTURE
MSP442B,CONCURRENT AND DISTRIBUTED SYSTEMS
MSP451,MAIN PROJECT
MAS231,FINANCIAL MATHEMATICS - II
MAS232,PROBABILITY AND MATHEMATICAL STATISTICS - II
MAS233,FINANCIAL ECONOMICS - I
MAS234,CORPORATE FINANCE AND FINANCIAL REPORTING - II
MAS235,LIFE INSURANCE AND PENSIONS
MAS431,LIFE CONTINGENCY - II
MAS432,HEALTH INSURANCE AND ENTERPRISE RISK MANAGEMENT
MAS433,ACTUARIAL APPLICATIONS USING EXCEL AND VBA MACROS
MAS434,RESEARCH METHODOLOGY
MAS435,ACTUARIAL MODELING - II
MAC231,INORGANIC CHEMISTRY - II
MAC232,ORGANIC CHEMISTRY - II
MAC233,PHYSICAL CHEMISTRY - II
MAC234,SPECTROSCOPY - I
MAC251,INORGANIC CHEMISTRY PRACTICAL - II
MAC252,ORGANIC CHEMISTRY PRACTICALS
MAC271,GENERAL RESEARCH METHODOLOGY
MAC272,SCIENTIFIC COMMUNICATION: WRITING AND PRESENTATIONS
MAC431,INORGANIC REACTION MECHANISMS AND ORGANOMETALLIC CHEMISTRY
MAC432,INSTRUMENTAL METHODS OF ANALYSIS
MAC433,CHEMISTRY OF MATERIALS
MAC434,SPECTROSCOPY - III
MAC451,ANALYTICAL CHEMISTRY PRACTICALS - III
MAC452,PROJECT
MAC471,CHALLENGES IN INDUSTRIAL RESEARCH
MCH231,INORGANIC CHEMISTRY - II
MCH232,ORGANIC CHEMISTRY - II
MCH233,PHYSICAL CHEMISTRY - II
MCH234,SPECTROSCOPY - I
MCH251,INORGANIC CHEMISTRY PRACTICAL - II
MCH252,PHYSICAL CHEMISTRY PRACTICAL - II
MCH271,GENERAL RESEARCH METHODOLOGY
MCH272,SCIENTIFIC COMMUNICATION: WRITING AND PRESENTATIONS
MCH431,INORGANIC REACTION MECHANISMS AND ORGANOMETALLIC CHEMISTRY
MCH432,STEREOCHEMISTRY AND RETROSYNTHETIC ANALYSIS
MCH433,ORGANIC SYNTHESIS - II
MCH434,MEDICINAL ORGANIC CHEMISTRY
MCH451,ORGANIC CHEMISTRY PRACTICALS - III
MCH452,PROJECT
MCH471,CHALLENGES IN INDUSTRIAL RESEARCH
MCS231,DATA STRUCTURES
MCS232,UNIX OPERATING SYSTEM
MCS241B,NETWORK SECURITY
MCS241D,PRINCIPLES OF USER INTERFACE DESIGN
MCS242C,SOFTWARE QUALITY AND TESTING
MCS242G,DATA ANALYTICS
MCS243A,INTRODUCTION TO MATLAB PROGRAMMING
MCS243B,R PROGRAMMING
MCS243D,PYTHON PROGRAMMING
MCS243E,NETWORK SIMULATION USING NS2
MCS243F,HADOOP
MCS251,DATA STRUCTURES LAB
MCS252,UNIX LAB
MCS253,ADBMS PROJECT LAB
MCS451,INDUSTRY PROJECT
MCS471,RESEARCH - PUBLICATION
MTH201,INTRODUCTION TO FREE AND OPEN-SOURCE SOFTWARE (FOSS) TOOLS : (SCILAB AND MAXIMA)
MTH231,MEASURE THEORY AND INTEGRATION
MTH232,COMPLEX ANALYSIS
MTH233,ADVANCED ALGEBRA
MTH234,ADVANCED FLUID MECHANICS
MTH235,ALGORITHMIC GRAPH THEORY
MTH401,OPERATIONS RESEARCH
MTH431,CLASSICAL MECHANICS
MTH432,COMPUTATIONAL FLUID DYNAMICS
MTH433,FUNCTIONAL ANALYSIS
MTH441,ADVANCED NUMERICAL METHODS
MTH442,MAGNETOHYDRODYNAMICS
MTH443,WAVELET THEORY
MTH444,MATHEMATICAL MODELLING
MTH445,CRYPTOGRAPHY
MTH446,ATMOSPHERIC SCIENCE
MTH447,ADVANCED LINEAR PROGRAMMING
MTH451,PROJECT
MPH231,STATISTICAL PHYSICS
MPH232,ELECTRODYNAMICS
MPH233,QUANTUM MECHANICS - II
MPH234,COMPUTATIONAL METHODS AND C PROGRAMMING
MPH251,"LABORATORY - III, GENERAL PHYSICS - II"
MPH252,"LABORATORY - IV, C - PROGRAMMING"
MPH431,NON-CONVENTIONAL ENERGY RESOURCES
MPH432,SPECTROSCOPIC TECHNIQUES
MPH441A,SYNTHESIS OF MATERIALS (SPECIAL - II)
MPH441B,PHYSICS OF SEMICONDUCTOR DEVICES (SPECIAL-II)
MPH441C,ASTROPHYSICS - II (SPECIAL-II)
MPH442A,CHARACTERIZATION OF MATERIALS (SPECIAL - III)
MPH442B,ELECTRONIC COMMUNICATION (SPECIAL - III)
MPH442C,ASTROPHYSICS - III (SPECIAL-III)
MPH451A,"LABORATORY 7, MATERIAL SCIENCE - II"
MPH451B,"LABORATORY 7, ELECTRONICS - II"
MPH451C,"LABORATORY 7, ASTROPHYSICS - II"
MPH452,PROJECT
MPH471,EDUCATIONAL VISIT
MSC431,NON GOVERNMENT ORGANIZATION AND MANAGEMENT
MSC432,ORGANIZATIONAL BEHAVIOR AND DEVELOPMENT
MSC433,LEGISLATIONS AND POLICIES FOR HEALTH
MSC434,PROFESSIONAL DEVELOPMENT AND SOCIAL WORK
MSC435,CORPORATE SOCIAL RESPONSIBILITY
MSC436,PROGRAMMES AND POLICIES OF GOVERNMENT MINISTRIES FOR DEVELOPMENT
MSC455,SOCIAL WORK PRACICE - IV (INTERNSHIP)
MSC456,PRACTICE SEMINAR - IV
MSC457,FIELD ACTION PROJECT
MSC475,SOCIAL WORK RESEARCH PROJECT - II
SWC231,THEORETICAL FOUNDATIONS OF SOCIAL WORK PRACTICE
SWC232,RURAL AND URBAN DEVELOPMENT AND GOVERNANCE
SWC233,PROJECT CYCLE MANAGEMENT
SWC234,"EVIDENCE BASED INTERVENTION, ADVOCACY AND POLICY MAKING"
SWC235,MENTAL HEALTH
SWC236,PUBLIC HEALTH
SWC237,SOCIAL WORK RESEARCH METHODS - II
SWC254,SKILL LAB - II
SWC255,SOCIAL WORK PRACTICE -II (INTERNSHIP II)
SWC275,SOCIAL WORK RESEARCH PROJECT - I
SWC276,SERVICE LEARNING - II
MSH431,NON GOVERNMENT ORGANIZATION AND MANAGEMENT
MSH432,CONFLICT MANGEMENT
MSH433,STRATEGIC HRM AND IHRM
MSH434,PROFESSIONAL DEVELOPMENT AND SOCIAL WORK
MSH435,CORPORATE SOCIAL RESPONSIBILITY
MSH436,ORGANIZATIONAL BEHAVIOUR - II
MSH455,INTERNSHIP IV
MSH456,PRACTICE SEMINAR IV
MSH457,FIELD ACTION PROJECT
MSH475,SOCIAL WORK RESEARCH PROJECT II
SWH231,THEORETICAL FOUNDATIONS FOR SOCIAL WORK PRACTICE
SWH232,INTRODUCTION TO MANAGEMENT AND HRM
SWH233,LABOUR LEGISLATION
SWH234,ORGANIZATIONAL BEHAVIOUR - I
SWH235,ACQUISITION OF HUMAN RESOURCES
SWH236,OCCUPATIONAL HEALTH AND SAFETY
SWH237,SOCIAL WORK RESEARCH METHODS - II
SWH254,SKILL LAB II
SWH255,SOCIAL WORK PRACTICE - II (INTERNSHIP II)
SWH275,SOCIAL WORK RESEARCH PROJECT I
SWH276,SERVICE LEARNING II
MTEC231,MOBILE COMMUNICATION NETWORKS
MTEC233,SPACE TIME WIRELESS COMMUNICATION
MTEC234,DETECTION AND ESTIMATION THEORY
MTEC235,NETWORK ROUTING ALGORITHMS
MTEC251,COMMUNICATION SYSTEM LABORATORY - II
MTEC252,MICROWAVE LABORATORY
MTEC271,PROFESSIONAL PRACTICE - I
MTEC471,PROJECT WORK (PHASE-II) AND DISSERTATION
MTCS232,COMPUTER COMMUNICATION NETWORKS
MTCS233,VERY LARGE DATABASE MANAGEMENT SYSTEMS
MTCS234,DATA SCIENCE
MTCS235,ADVANCED RESEARCH METHODOLOGY
MTCS251,NETWORKING LABORATORY
MTCS252,DATABASE TECHNOLOGY LABORATORY
MTCS271,PROFESSIONAL PRACTICE - I
MTCS471,PROJECT WORK (PHASE-II) AND DISSERTATION
MTMA233,MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE
MTIT471,PROJECT WORK (PHASE-II) AND DISSERTATION
MTME231,EXPERIMENTAL STRESS ANALYSIS
MTME232,COMPUTER APPLICATION IN DESIGN
MTME233,ADVANCED FINITE ELEMENT ANALYSIS
MTME234,THEORY OF PLASTICITY
MTME235,FRACTURE MECHANICS
MTME251,ADVANCED DESIGN LABORATORY
MTME252,ANALYSIS LABORATORY
MTME271,PROFESSIONAL PRACTICE-I
MTME471,PROJECT WORK (PHASE-II) AND DISSERTATION
MTEE231,MODERN POWER SYSTEM OPTIMIZATION
MTEE232,POWER SYSTEM DYNAMICS AND CONTROL
MTEE233,DESIGN OF MICROGRID
MTEE234,ENERGY MANAGEMENT SYSTEMS AND SCADA
MTEE235,RENEWABLE POWER GENERATION SOURCES
MTEE251,"SURVEY OF GENERATION, TRANSMISSION AND DISTRIBUTION LABORATORY"
MTEE252,ENERGY SYSTEMS AND MANAGEMENT SIMULATION LABORATORY
MTEE271,PROFESSIONAL PRACTICE - I
MTEE471,PROJECT WORK PHASE II AND DISSERTATION
MTCE231,DESIGN OF PLATES AND SHELLS
MTCE232,STRUCTURAL DYNAMICS
MTCE233,FINITE ELEMENT METHOD OF ANALYSIS
MTCE234,DESIGN CONCEPTS OF SUBSTRUCTURES
MTCE235EA,ADVANCED DESIGN OF STEEL STRUCTURES
MTCE251,STRUCTURAL DYNAMICS LABORATORY
MTCE252,STRUCTURAL ENGINEERING LABORATORY - II
MTCE271,PROFESSIONAL PRACTICE - I
MTCE471,PROJECT WORK (PHASE-II) AND DISSERTATION
PGDM218,ENTREPRENEURSHIP
PGDM219,RESEARCH METHODOLOGY
PGDM222,ENTERPRISE RESOURCE PLANNING & E-BUSINESS
PGDM223,FINANCIAL STATEMENT ANALYSIS
PGDM225,FINANCIAL MANAGEMENT
PGDM226,MARKETING MANAGEMENT
PGDM227,OPERATIONS MANAGEMENT
PGDM275,INDUSTRIAL DOMAIN KNOWLEDGE
PGDM521,CONSUMER BEHAVIOUR
PGDM523,BUSINESS TO BUSINESS
PGDM525,STRATEGIC MARKETING MANAGEMENT
PGDM530,"MERGERS, ACQUISITIONS AND RESTRUCTURING"
PGDM531,INTEGRATED MARKETING COMMUNICATION
PGDM534,STRATEGIC FINANCIAL MANAGEMENT
PGDM535,CUSTOMER RELATIONSHIP MANAGEMENT AND MARKETING METRICS
PGDM538,INSURANCE
PGDM541,MANAGEMENT OF BANKS
PGDM542,FINANCIAL PLANNING AND WEALTH MANAGEMENT
PGDM544,MARKETING OF FINANCIAL SERVICES AND MARKETING METRICS
PGDM545,RETAILING MANAGEMENT

